H202402121332_DEBITCARDEVENTNOTIFICATION.TXT       00000006232024-02-12T15:34:32.659-06:00     2024-02-12T15:34:25.000-06:00     
00000000028492229070033259350001018578100000000028492229010000000000000000000REQ            5947RETAIL000000000000000000000000000000000000000012345678                      auNREokWeDfgqRzqcxWHGAl  DENVER       CO         US          N/A       PRESENT   PRESENT   ATTENDED  ONPREM                                                                                                        00000002592023-05-05T00:03:49.506-05:00     2023-05-04T17:59:41.974-05:00                                                       auNREokWeDfgqRzqcxWHGAl, DENVER, CO US                                                                                                                                                                                                                         CorePro Says: Approved or completed successfully                                                                                                                                                                                                                                                                    Card Purchase Authorization                                                                                                                                                                                                                                    00010000000033259353*************1329                                 0001000000                                                  2023-05-04T17:59:39.536-05:00                                                                                                                                                                                                                                                                                                                                                                                                                                                                       Test Account xnlsJkMPpp                           00000000000033259350                                                                                                                                                      0000000002849222902003325935000000004032023-05-05T00:03:49.506-05:00     GiftCardNoveltyAndSouvenirStores                                                                                                                                                                                                                               5947                                                    00000000000033259353*************1329                                 0000000000                                                  2023-05-04T17:59:39.536-05:00                                                                                                                                                                                                                                                                                                                                                                                                                                                                       Test Account xnlsJkMPpp                           00000000000033259350                                                                                                    Card Purchase Authorization                       ATHPCH00030602402900                                                          0100011000000367                  00000000000000000000                     875A15C2BT2                                                                                                                                                                                                                                                                     231110003676                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               0000000000000000000000000000000000000000COUS00000000012                                                                                                                00000000000000    0UNKUNL0003672023111810504105941         ff35214c-6221-4388-b942-fab2e69a8793
00000000028492246260033259358001018578200000000028492246200000000000000000000REQ            5947RETAIL000000000000000000000000000000000000000012345678                      ZwsCtAgqjdtFfjcNQJkDYIU  DENVER       CO         US          N/A       PRESENT   PRESENT   ATTENDED  ONPREM                                                                                                        00000000732023-05-05T00:03:49.506-05:00     2023-05-04T18:05:05.506-05:00                                                       ZwsCtAgqjdtFfjcNQJkDYIU, DENVER, CO US                                                                                                                                                                                                                         CorePro Says: Approved or completed successfully                                                                                                                                                                                                                                                                    Card Purchase Authorization                                                                                                                                                                                                                                    00010000000033259361*************1401                                 0001000000                                                  2023-05-04T18:05:02.788-05:00                                                                                                                                                                                                                                                                                                                                                                                                                                                                       Test Account JowLYWBnWi                           00000000000033259358                                                                                                                                                      0000000002849224621003325935800000004032023-05-05T00:03:49.506-05:00     GiftCardNoveltyAndSouvenirStores                                                                                                                                                                                                                               5947                                                    00000000000033259361*************1401                                 0000000000                                                  2023-05-04T18:05:02.788-05:00                                                                                                                                                                                                                                                                                                                                                                                                                                                                       Test Account JowLYWBnWi                           00000000000033259358                                                                                                    Card Purchase Authorization                       ATHPCH00030602402900                                                          0100011000000368                  00000000000000000000                     875A15C2BT2                                                                                                                                                                                                                                                                     231110003684                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               0000000000000000000000000000000000000000COUS00000000012                                                                                                                00000000000000    0UNKUNL0003682023111820504110505         c7f0b48c-d95d-4e20-b84a-e67b0baf62f3
00000000028492246330033259358001018578200000000028492246270000000000000000000REQ            5947RETAIL000000000000000000000000000000000000000012345678                      WgDFAzTXkUWcKiLKPkrpHiV  DENVER       CO         US          N/A       PRESENT   PRESENT   ATTENDED  ONPREM                                                                                                        00000000932023-05-04T18:05:08.163-05:00     2023-05-04T18:05:06.397-05:00                                                       WgDFAzTXkUWcKiLKPkrpHiV, DENVER, CO US                                                                                                                                                                                                                         CorePro Says: Approved or completed successfully                                                                                                                                                                                                                                                                    Card Purchase Authorization                                                                                                                                                                                                                                    00010000000033259361*************1401                                 0000999927                                                  2023-05-04T18:05:02.788-05:00                                                                                                                                                                                                                                                                                                                                                                                                                                                                       Test Account JowLYWBnWi                           00000000000033259358                                                                                                                                                      0000000002849224628003325935800000004032023-05-04T18:05:08.163-05:00     GiftCardNoveltyAndSouvenirStores                                                                                                                                                                                                                               5947                                                    00000000000033259361*************1401                                 0000000000                                                  2023-05-04T18:05:02.788-05:00                                                                                                                                                                                                                                                                                                                                                                                                                                                                       Test Account JowLYWBnWi                           00000000000033259358                                                                                                    Card Purchase Authorization                       ATHPCH00030602402900                                                          0100011000000369                  00000000000000000000                     875A15C2BT2                                                                                                                                                                                                                                                                     231110003698                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               0000000000000000000000000000000000000000COUS00000000012                                                                                                                00000000000000    0UNKUNL0003692023111820504110506         2b616af1-6fa1-4e7f-91fc-fcb36b46edacThis is extra text after the defined set of fields.  Your processing should ignore this and continue without error
00000000028492246360033259358001018578200000000028492246270000000000000000000REQ            5947RETAIL000000000000000000000000000000000000000012345678                      WgDFAzTXkUWcKiLKPkrpHiV  DENVER       CO         US          N/A       PRESENT   PRESENT   ATTENDED  ONPREM                                                                                                        00000000932023-05-04T18:05:08.163-05:00     2023-05-04T18:05:06.397-05:00                                                       WgDFAzTXkUWcKiLKPkrpHiV, DENVER, CO US                                                                                                                                                                                                                         CorePro Says: Approved or completed successfully                                                                                                                                                                                                                                                                    Card Purchase Authorization                                                                                                                                                                                                                                    00010000000033259361*************1401                                 0000999927                                                  2023-05-04T18:05:02.788-05:00                                                                                                                                                                                                                                                                                                                                                                                                                                                                       Test Account JowLYWBnWi                           00000000000033259358                                                                                                                                                      0000000002849224628003325935800000004032023-05-04T18:05:08.163-05:00     GiftCardNoveltyAndSouvenirStores                                                                                                                                                                                                                               5947                                                    00000000000033259361*************1401                                 0000000000                                                  2023-05-04T18:05:02.788-05:00                                                                                                                                                                                                                                                                                                                                                                                                                                                                       Test Account JowLYWBnWi                           00000000000033259358                                                                                                    Card Purchase Authorization                       ATHPCH00030602722900                                                          0100011000000369                  00000000000000000000                     875A15C2BT2                                                                                                                                                                                                                                                                     231110003698                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               0000000000000000000000000000000000000000COUS00000000012                                                                                                                00000000000000    0UNKUNL0003692023111820504110506         8eb19d6c-7289-42ea-9270-ec823bb74163
00000000028492246420033259358001018578200000000028492246370000000002849224627ADV            5947RETAIL000000000000000000000000000000000000000012345678                      WgDFAzTXkUWcKiLKPkrpHiV  DENVER                  US          NOPIN     PRESENT   PRESENT   ATTENDED  ONPREM                                                                                                        00000002412023-05-04T18:05:08.194-05:00     2023-05-04T18:05:08.194-05:00                                                       WgDFAzTXkUWcKiLKPkrpHiV, DENVER, US                                                                                                                                                                                                                            Success                                                                                                                                                                                                                                                                                                             Card Purchase                                                                                                                                                                                                                                                  00010000000033259361*************1401                                 0000999834                                                  2023-05-04T18:05:02.788-05:00                                                                                                                                                                                                                                                                                                                                                                                                                                                                       Test Account JowLYWBnWi                           00000000000033259358                                                                                                                                                      0000000002849224628003325935800000004022023-05-04T18:05:08.194-05:00     GiftCardNoveltyAndSouvenirStores                                                                                                                                                                                                                               5947                                                    00000084410009976511*************6689                                 0000000000CardSettlement                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        CS                                                00000000000000009344                                                                                                    Card Purchase                                     CRDPCH00030603412902                                                          0220023000050479               00 00000000000000000000                     875A15C2BT2               875A15C2BT2                                                                                                                                                                                                                                           231110003698                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               0000000000000000000000000000000000000000  US00000000012                                                                                                                00000000000000    0UNKUNL0003692023111820504110507         8eb19d6c-7289-42ea-9270-ec823bb74163
00000000028573875940033295575001018791400000000028573875880000000000000000000REQ            5947RETAIL000000000000000000000000000000000000000012345678                      InWjllVRORAbWbXqeFEyyBo  DENVER       CO         US          N/A       PRESENT   PRESENT   ATTENDED  ONPREM                                                                                                        00000001922023-05-12T21:02:49.601-05:00     2023-05-12T14:00:42.332-05:00                                                       InWjllVRORAbWbXqeFEyyBo, DENVER, CO US                                                                                                                                                                                                                         CorePro Says: Approved or completed successfully                                                                                                                                                                                                                                                                    Card Purchase Authorization                                                                                                                                                                                                                                    00010000000033295578*************6728                                 0001000000                                                  2023-05-12T14:00:40.160-05:00                                                                                                                                                                                                                                                                                                                                                                                                                                                                       Test Account vtvSTHeKcr                           00000000000033295575                                                                                                                                                      0000000002857387589003329557500000004032023-05-12T21:02:49.601-05:00     GiftCardNoveltyAndSouvenirStores                                                                                                                                                                                                                               5947                                                    00000000000033295578*************6728                                 0000000000                                                  2023-05-12T14:00:40.160-05:00                                                                                                                                                                                                                                                                                                                                                                                                                                                                       Test Account vtvSTHeKcr                           00000000000033295575                                                                                                    Card Purchase Authorization                       ATHPCH00030602402900                                                          0100011000000069                  00000000000000000000                     875A15C2BT2                                                                                                                                                                                                                                                                     231190000692                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               0000000000000000000000000000000000000000COUS00000000012                                                                                                                00000000000000    0UNKUNL0000692023119140512070042         3dbfb81f-9e23-4cb5-b894-10c4043a3d5b
00000000028573876100033295575001018791400000000028573876030000000000000000000REQ            5947RETAIL000000000000000000000000000000000000000012345678                      flPJSZiIeElJIznjNxViAaC  DENVER       CO         US          N/A       PRESENT   PRESENT   ATTENDED  ONPREM                                                                                                        00000001302023-05-12T14:00:43.988-05:00     2023-05-12T14:00:42.942-05:00                                                       flPJSZiIeElJIznjNxViAaC, DENVER, CO US                                                                                                                                                                                                                         CorePro Says: Approved or completed successfully                                                                                                                                                                                                                                                                    Card Purchase Authorization                                                                                                                                                                                                                                    00010000000033295578*************6728                                 0000999808                                                  2023-05-12T14:00:40.160-05:00                                                                                                                                                                                                                                                                                                                                                                                                                                                                       Test Account vtvSTHeKcr                           00000000000033295575                                                                                                                                                      0000000002857387604003329557500000004032023-05-12T14:00:43.988-05:00     GiftCardNoveltyAndSouvenirStores                                                                                                                                                                                                                               5947                                                    00000000000033295578*************6728                                 0000000000                                                  2023-05-12T14:00:40.160-05:00                                                                                                                                                                                                                                                                                                                                                                                                                                                                       Test Account vtvSTHeKcr                           00000000000033295575                                                                                                    Card Purchase Authorization                       ATHPCH00030602402900                                                          0100011000000070                  00000000000000000000                     875A15C2BT2                                                                                                                                                                                                                                                                     231190000700                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               0000000000000000000000000000000000000000COUS00000000012                                                                                                                00000000000000    0UNKUNL0000702023119140512070042         a29b915b-82c6-467f-9be0-f880729446a4
00000000028573876280033295575001018791400000000028573876030000000000000000000REQ            5947RETAIL000000000000000000000000000000000000000012345678                      flPJSZiIeElJIznjNxViAaC  DENVER       CO         US          N/A       PRESENT   PRESENT   ATTENDED  ONPREM                                                                                                        00000001302023-05-12T14:00:43.988-05:00     2023-05-12T14:00:42.942-05:00                                                       flPJSZiIeElJIznjNxViAaC, DENVER, CO US                                                                                                                                                                                                                         CorePro Says: Approved or completed successfully                                                                                                                                                                                                                                                                    Card Purchase Authorization                                                                                                                                                                                                                                    00010000000033295578*************6728                                 0000999808                                                  2023-05-12T14:00:40.160-05:00                                                                                                                                                                                                                                                                                                                                                                                                                                                                       Test Account vtvSTHeKcr                           00000000000033295575                                                                                                                                                      0000000002857387604003329557500000004032023-05-12T14:00:43.988-05:00     GiftCardNoveltyAndSouvenirStores                                                                                                                                                                                                                               5947                                                    00000000000033295578*************6728                                 0000000000                                                  2023-05-12T14:00:40.160-05:00                                                                                                                                                                                                                                                                                                                                                                                                                                                                       Test Account vtvSTHeKcr                           00000000000033295575                                                                                                    Card Purchase Authorization                       ATHPCH00030602722900                                                          0100011000000070                  00000000000000000000                     875A15C2BT2                                                                                                                                                                                                                                                                     231190000700                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               0000000000000000000000000000000000000000COUS00000000012                                                                                                                00000000000000    0UNKUNL0000702023119140512070042         5ae5f57d-cb52-4135-9566-b79484f7f411
00000000028573876340033295575001018791400000000028573876290000000002857387603ADV            5947RETAIL000000000000000000000000000000000000000012345678                      flPJSZiIeElJIznjNxViAaC  DENVER                  US          NOPIN     PRESENT   PRESENT   ATTENDED  ONPREM                                                                                                        00000002242023-05-12T14:00:43.988-05:00     2023-05-12T14:00:43.988-05:00                                                       flPJSZiIeElJIznjNxViAaC, DENVER, US                                                                                                                                                                                                                            Success                                                                                                                                                                                                                                                                                                             Card Purchase                                                                                                                                                                                                                                                  00010000000033295578*************6728                                 0000999678                                                  2023-05-12T14:00:40.160-05:00                                                                                                                                                                                                                                                                                                                                                                                                                                                                       Test Account vtvSTHeKcr                           00000000000033295575                                                                                                                                                      0000000002857387604003329557500000004022023-05-12T14:00:43.988-05:00     GiftCardNoveltyAndSouvenirStores                                                                                                                                                                                                                               5947                                                    00000086650009976511*************6689                                 0000000000CardSettlement                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        CS                                                00000000000000009344                                                                                                    Card Purchase                                     CRDPCH00030603412902                                                          0220023000050479               00 00000000000000000000                     875A15C2BT2               875A15C2BT2                                                                                                                                                                                                                                           231190000700                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               0000000000000000000000000000000000000000  US00000000012                                                                                                                00000000000000    0UNKUNL0000702023119140512070043         5ae5f57d-cb52-4135-9566-b79484f7f411
